역명,시도,호선목록,노선수,위도,경도,x,y,원수,원id,등급,회수일수,하루승차,첨두비중,단기외국인비중,관광명물,승하차출처
4.19민주묘지,서울,우이신설선,1,37.64954,127.01371,1469.22,360.98,1,235,D,1.5,3052,0.1106,1.87,,실적
가능,경기,1호선,1,37.748362,127.044251,1947.64,216.47,1,10,D,1.5,6148,0.1254,,,실적
가락시장,서울,3호선|8호선,2,37.492686,127.11819,1935.18,1819.66,1,657,B,3.0,16822,0.115,3.27,,실적
가산디지털단지,서울,1호선|7호선,2,37.480972,126.882666,773.98,1714.56,1,612,S,8.0,54813,0.2553,3.39,,실적
가양,서울,9호선,1,37.561111,126.855078,555.89,1065.87,1,107,B,3.0,20949,0.1276,4.91,,실적
가오리,서울,우이신설선,1,37.64162,127.01681,1469.22,392.44,1,236,D,1.5,4250,0.1336,2.35,,실적
가재울,인천,인천지하철 2호선,1,37.484152,126.683883,129.99,1530.08,1,467,E,1.0,,,,,
가정,인천,인천지하철 2호선,1,37.524805,126.675387,129.99,1291.22,1,465,E,1.0,,,,,
가정중앙시장,인천,인천지하철 2호선,1,37.517511,126.676784,129.99,1361.69,1,466,E,1.0,,,,,
가좌,서울,경의중앙선,1,37.568611,126.914841,,,0,,D,1.5,5638,0.1545,4.24,,실적
가천대,경기,분당선,1,37.448784,127.126677,2006.08,1955.02,1,416,D,1.5,7393,0.118,3.42,,실적
가평,경기,경춘선,1,37.814515,127.510693,2433.37,458.35,1,326,D,1.5,2312,0.1364,,,실적
간석,인천,1호선,1,37.464689,126.693408,224.02,1730.96,1,455,D,1.5,5519,0.1287,,,실적
간석오거리,인천,인천지하철 1호선,1,37.466921,126.707861,333.37,1753.16,1,395,E,1.0,,,,,
갈매,경기,경춘선,1,37.634135,127.114803,2136.54,631.6,1,337,D,1.5,2529,0.1731,,,실적
갈산,인천,인천지하철 1호선,1,37.517124,126.721566,236.79,1379.79,1,497,E,1.0,,,,,
강남,서울,2호선|신분당선,2,37.497672,127.027709,1510.5,1819.12,1,649,S,8.0,80663,0.1413,4.41,,실적
강남구청,서울,7호선|분당선,2,37.516878,127.041397,1608.73,1426.29,1,626,B,3.0,24139,0.1884,4.92,,실적
강남대,경기,에버라인,1,37.270171,127.126067,1753.31,2347.5,1,279,C,2.0,8937,0.1703,5.15,,실적
